tiempo,id_estacion,bicis_disponibles,bicis_bloqueadas,espacios_disponibles,espacios_bloqueados
2019-07-23T02:35:00Z,2,0,2,18,0
2019-07-23T02:35:00Z,3,0,1,19,0
2019-07-23T02:35:00Z,4,0,2,18,0
2019-07-23T02:35:00Z,5,NA,NA,NA,NA
2019-07-23T02:35:00Z,6,0,2,18,0
2019-07-23T02:35:00Z,7,NA,NA,NA,NA
2019-07-23T02:35:00Z,8,1,1,22,0
2019-07-23T02:35:00Z,9,NA,NA,NA,NA
2019-07-23T02:35:00Z,11,0,0,20,0
2019-07-23T02:35:00Z,12,0,6,9,0
2019-07-23T02:35:00Z,13,NA,NA,NA,NA
2019-07-23T02:35:00Z,14,1,6,23,1
2019-07-23T02:35:00Z,15,0,2,18,0
2019-07-23T02:35:00Z,17,1,1,18,2
2019-07-23T02:35:00Z,19,0,2,22,0
2019-07-23T02:35:00Z,20,4,1,15,0
2019-07-23T02:35:00Z,21,NA,NA,NA,NA
2019-07-23T02:35:00Z,22,0,1,19,0
2019-07-23T02:35:00Z,23,0,0,12,0
2019-07-23T02:35:00Z,24,1,1,16,0
2019-07-23T02:35:00Z,25,0,0,24,0
2019-07-23T02:35:00Z,26,0,1,22,0
2019-07-23T02:35:00Z,27,NA,NA,NA,NA
2019-07-23T02:35:00Z,28,NA,NA,NA,NA
2019-07-23T02:35:00Z,29,2,0,27,0
2019-07-23T02:35:00Z,30,1,7,12,0
2019-07-23T02:35:00Z,31,NA,NA,NA,NA
2019-07-23T02:35:00Z,32,NA,NA,NA,NA
2019-07-23T02:35:00Z,33,0,7,13,0
2019-07-23T02:35:00Z,35,0,1,29,0
2019-07-23T02:35:00Z,36,0,3,13,0
2019-07-23T02:35:00Z,38,0,3,17,0
2019-07-23T02:35:00Z,39,NA,NA,NA,NA
2019-07-23T02:35:00Z,40,0,4,12,0
2019-07-23T02:35:00Z,41,NA,NA,NA,NA
2019-07-23T02:35:00Z,42,0,1,23,0
2019-07-23T02:35:00Z,43,0,4,12,0
2019-07-23T02:35:00Z,44,1,0,19,0
2019-07-23T02:35:00Z,45,NA,NA,NA,NA
2019-07-23T02:35:00Z,46,0,3,15,0
2019-07-23T02:35:00Z,47,1,1,14,0
2019-07-23T02:35:00Z,48,0,2,14,0
2019-07-23T02:35:00Z,49,4,4,12,0
2019-07-23T02:35:00Z,50,0,1,19,0
2019-07-23T02:35:00Z,51,NA,NA,NA,NA
2019-07-23T02:35:00Z,52,1,0,19,0
2019-07-23T02:35:00Z,53,1,3,16,0
2019-07-23T02:35:00Z,54,9,3,8,0
2019-07-23T02:35:00Z,55,NA,NA,NA,NA
2019-07-23T02:35:00Z,56,0,1,15,0
2019-07-23T02:35:00Z,57,0,1,15,0
2019-07-23T02:35:00Z,58,0,1,19,0
2019-07-23T02:35:00Z,59,0,4,16,0
2019-07-23T02:35:00Z,60,0,4,16,0
2019-07-23T02:35:00Z,62,0,2,18,0
2019-07-23T02:35:00Z,63,0,7,13,0
2019-07-23T02:35:00Z,64,1,9,10,1
2019-07-23T02:35:00Z,65,NA,NA,NA,NA
2019-07-23T02:35:00Z,66,NA,NA,NA,NA
2019-07-23T02:35:00Z,68,0,0,20,0
2019-07-23T02:35:00Z,69,0,14,1,0
2019-07-23T02:35:00Z,70,0,1,19,1
